# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	11593	13509	+	CBW16113.1			Chaperone protein dnaK	dnaK		SL1344_0012	1917	638.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	13595	14734	+	CBW16114.1			DnaJ protein	dnaJ		SL1344_0013	1140	379.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	15014	15961	+	CBW16115.1			hypothetical regulatory protein			SL1344_0014	948	315.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	16088	16432	+	CBW16116.1			predicted bacteriophage protein			SL1344_0015	345	114.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	16493	17026	-	CBW16117.1			conserved hypothetical protein			SL1344_0016	534	177.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	17043	17486	-	CBW16118.1			hypothetical membrane protein			SL1344_0017	444	147.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	18083	19966	+	CBW16119.2			chitinase	chiA		SL1344_0018	1884	627.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	20058	23054	+	CBW16120.1			hypothetical chitinase			SL1344_0019	2997	998.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	23335	24039	+	CBW16121.1			conserved hypothetical protein			SL1344_0020	705	234.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	24469	25011	+	CBW16122.1			fimbrial subunit	bcfA		SL1344_0021	543	180.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	25112	25798	+	CBW16123.1			fimbrial chaperone	bcfB		SL1344_0022	687	228.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	25803	28424	+	CBW16124.1			fimbrial usher protein	bcfC		SL1344_0023	2622	873.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	28425	29432	+	CBW16125.1			fimbrial subunit	bcfD		SL1344_0024	1008	335.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	29433	29978	+	CBW16126.1			fimbrial subunit	bcfE		SL1344_0025	546	181.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	29994	30512	+	CBW16127.1			fimbrial subunit	bcfF		SL1344_0026	519	172.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	30505	31209	+	CBW16128.1			fimbrial chaperone	bcfG		SL1344_0027	705	234.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	31274	32119	+	CBW16129.1			hypothetical exported protein	bcfH		SL1344_0028	846	281.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	32116	32445	+	CBW16130.1			hypothetical membrane protein			SL1344_0029	330	109.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	32545	32994	-	CBW16131.1			hypothetical membrane protein			SL1344_0030	450	149.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	33364	34368	+	CBW16132.1			hypothetical transcriptional regulator (lysR family)			SL1344_0031	1005	334.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	34376	34816	-	CBW16133.1			hypothetical membrane protein			SL1344_0032	441	146.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	35339	37057	+	CBW16134.1			possible sulfatase			SL1344_0033	1719	572.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	37103	38674	-	CBW16135.1			hypothetical secreted 5'-nucleotidase			SL1344_0034	1572	523.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	38773	39534	-	CBW16136.1			hypothetical exported protein			SL1344_0035	762	253.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	40131	41624	+	CBW16137.1			hypothetical secreted sulfatase			SL1344_0036	1494	497.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	41723	42913	+	CBW16138.1			possible sulfatase regulatory protein			SL1344_0037	1191	396.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	42932	44185	+	CBW16139.1			conserved hypothetical protein			SL1344_0038	1254	417.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	44312	46027	+	CBW16140.1			possible sulfatase			SL1344_0039	1716	571.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	46190	47356	+	CBW16141.1			Na(+)/H(+) antiporter 1	nhaA		SL1344_0040	1167	388.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	47418	48317	+	CBW16142.1			transcriptional activator protein NhaR	nhaR		SL1344_0041	900	299.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	48372	50411	-	CBW16143.1			hypothetical glycosyl hydrolase			SL1344_0042	2040	679.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	50451	51824	-	CBW16144.1			hypothetical transport protein			SL1344_0043	1374	457.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	52280	52543	-	CBW16145.1			30S ribosomal protein S20	rpsT		SL1344_0044	264	87.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	52649	52864	+	CBW16146.1			conserved hypothetical protein	yaaY		SL1344_0045	216	71.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	52872	53810	+	CBW16147.1			riboflavin biosynthesis protein RibF	ribF		SL1344_0046	939	312.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	53855	56689	+	CBW16148.1			isoleucyl-tRNA synthetase	ileS		SL1344_0047	2835	944.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	56689	57189	+	CBW16149.1			lipoprotein signal peptidase	lspA		SL1344_0048	501	166.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	57344	57793	+	CBW16150.1			probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase	fkpB		SL1344_0049	450	149.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	57796	58746	+	CBW16151.1			LytB protein	ispH		SL1344_0050	951	316.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	58946	60148	+	CBW16152.1			conserved hypothetical protein			SL1344_0051	1203	400.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	60164	61084	+	CBW16153.1			hypothetical nucleoside hydrolase (IUNH family)	rihC		SL1344_0052	921	306.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	61106	61792	-	CBW16154.1			transcriptional regulatory protein	citB2		SL1344_0053	687	228.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	61794	63413	-	CBW16155.1			two-component sensor kinase	citA2		SL1344_0054	1620	539.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	63548	64849	-	CBW16156.1			oxaloacetate decarboxylase beta chain (ec 4.1.1.3)			SL1344_0055	1302	433.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	64862	66637	-	CBW16157.1			oxaloacetate decarboxylase alpha chain			SL1344_0056	1776	591.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	66654	66893	-	CBW16158.1			oxaloacetate decarboxylase gamma chain	oadG		SL1344_0057	240	79.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	67052	68392	-	CBW16159.1			citrate-sodium symporter			SL1344_0058	1341	446.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	68637	69683	+	CBW16160.1			[citrate (PRO-3S)-lyase] ligase	citC2		SL1344_0059	1047	348.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	69713	70006	+	CBW16161.1			citrate lyase acyl carrier protein	citD2		SL1344_0060	294	97.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	70003	70872	+	CBW16162.1			citrate lyase beta chain	citE2		SL1344_0061	870	289.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	70883	72403	+	CBW16163.1			citrate lyase alpha chain	citF2		SL1344_0062	1521	506.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	72403	72954	+	CBW16164.1			apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	citX2		SL1344_0063	552	183.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	72947	73840	+	CBW16165.1			triphosphoribosyl-dephospho-CoA synthase	citG2		SL1344_0064	894	297.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	74020	74841	+	CBW16166.1			dihydrodipicolinate reductase	dapB		SL1344_0065	822	273.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	75091	75438	+				hypothetical viral protein (pseudogene)			SL1344_0066A	348		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	75883	77031	+	CBW16168.1			carbamoyl-phosphate synthase small chain	carA		SL1344_0067	1149	382.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	77050	80277	+	CBW16169.1			carbamoyl-phosphate synthase large chain	carB		SL1344_0068	3228	1075.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	80551	80946	+	CBW16170.1			transcriptional activator CaiF	caiF		SL1344_0069	396	131.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	81023	81619	-	CBW16171.1			carnitine operon protein CaiE	caiE		SL1344_0070	597	198.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	81728	82513	-	CBW16172.1			carnitine racemase	caiD		SL1344_0071	786	261.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	82567	84120	-	CBW16173.1			probable crotonobetaine/carnitine-CoA ligase	caiC		SL1344_0072	1554	517.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	84183	85454	-				L-carnitine dehydratase	caiB		SL1344_0073	1269		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	85512	86654	-	CBW16175.1			probable carnitine operon oxidoreductase CaiA	caiA		SL1344_0074	1143	380.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	86689	88206	-	CBW16176.1			probable carnitine transporter	caiT		SL1344_0075	1518	505.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	88687	89457	+	CBW16177.1			probable flavoprotein subunit	fixA		SL1344_0076	771	256.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	89473	90414	+	CBW16178.1			probable flavoprotein subunit	fixB		SL1344_0077	942	313.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	90464	91750	+	CBW16179.1			probable flavoprotein subunit	fixC		SL1344_0078	1287	428.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	91747	92034	+	CBW16180.1			ferredoxin like protein FixX	fixX		SL1344_0079	288	95.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	92181	93521	+	CBW16181.1			hypothetical metabolite transport protein	yaaU		SL1344_0080	1341	446.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	93610	93840	+	CBW16182.1			hypothetical lipoprotein			SL1344_0081	231	76.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	94134	94550	+	CBW16183.1			probable secreted protein			SL1344_0082	417	138.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	94774	95064	-	CBW16184.1			probable secreted protein			SL1344_0083	291	96.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	95134	95226	-				hypothetical membrane protein (pseudogene)			SL1344_0083A	93		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	95962	97851	+	CBW16186.1			hypothetical sulfatase			SL1344_0084	1890	629.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	98056	98121	-				hypothetical carnitinyl-CoA dehydratase (pseudogene)			SL1344_0085	66		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	98258	98788	+	CBW16188.1			hypothetical NAD(P)H oxidoreductase	yabF		SL1344_0086	531	176.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	98781	100643	+	CBW16189.1			glutathione-regulated potassium-efflux system protein KefC	kefC		SL1344_0087	1863	620.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	100842	101321	+	CBW16190.1			dihydrofolate reductase type I	folA		SL1344_0088	480	159.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	101427	102275	-	CBW16191.1			bis(5'-nucleosyl)-tetraphosphatase	apaH		SL1344_0089	849	282.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	102286	102663	-	CBW16192.1			CorD protein	apaG		SL1344_0090	378	125.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	102666	103487	-	CBW16193.1			dimethyladenosine transferase	ksgA		SL1344_0091	822	273.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	103484	104473	-	CBW16194.1			pyridoxal phosphate biosynthetic protein PdxA	pdxAa		SL1344_0092	990	329.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	104473	105759	-	CBW16195.1			survival protein SurA precursor	surA		SL1344_0093	1287	428.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	105813	108173	-	CBW16196.1			organic solvent tolerance protein precursor	imp		SL1344_0094	2361	786.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	108427	109239	+	CBW16197.1			DnaJ-like protein	djlA		SL1344_0095	813	270.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	109334	109993	-	CBW16198.1			ribosomal large subunit pseudouridine synthase A	rluA		SL1344_0096	660	219.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	110005	112911	-	CBW16199.1			probable ATP-dependent helicase HepA	hepA		SL1344_0097	2907	968.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	113085	115436	-	CBW16200.1			DNA polymerase II	polB		SL1344_0098	2352	783.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	115480	116100	-	CBW16201.1			probable secreted protein			SL1344_0099	621	206.0	
CDS	without_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	116195	116254	-				hypothetical inner membrane protein (pseudogene)			SL1344_0099A	60		pseudo
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	116819	117238	+	CBW16203.1			hypothetical protein			SL1344_0100	420	139.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	117244	117939	-	CBW16204.1			L-ribulose-5-phosphate 4-epimerase	araD		SL1344_0101	696	231.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	118080	119582	-	CBW16205.1			L-arabinose isomerase	araA		SL1344_0102	1503	500.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	119593	121302	-	CBW16206.1			Ribulokinase	araB		SL1344_0103	1710	569.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	121643	122488	+	CBW16207.1			arabinose operon regulatory protein	araC		SL1344_0104	846	281.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	122607	123374	+	CBW16208.1			DedA family integral membrane protein	yabI		SL1344_0105	768	255.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	123413	124120	-	CBW16209.1			hypothetical ABC transporter	thiQ		SL1344_0106	708	235.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	124104	125714	-	CBW16210.1			hypothetical ABC transporter integral membrane protein	thiP		SL1344_0107	1611	536.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	125690	126673	-	CBW16211.1			thiamine-binding periplasmic protein precursor	tbpA		SL1344_0108	984	327.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	126851	128509	-	CBW16212.1			hypothetical ABC transporter periplasmic solute binding protein	yabN		SL1344_0109	1659	552.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	128602	128724	+	CCG27784.1			conserved sORF	sgrT		SL1344_0109A	123	40.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	129060	129665	-	CBW16213.1			3-isopropylmalate dehydratase small subunit	leuD		SL1344_0110	606	201.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	129676	131076	-	CBW16214.1			3-isopropylmalate dehydratase large subunit	leuC		SL1344_0111	1401	466.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	131079	132170	-	CBW16215.1			3-isopropylmalate dehydrogenase	leuB		SL1344_0112	1092	363.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	132170	133741	-	CBW16216.1			2-isopropylmalate synthase	leuA		SL1344_0113	1572	523.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	133829	133915	-	CBW16217.1			leu operon leader peptide	leuL		SL1344_0114	87	28.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	134572	135516	+	CBW16218.1			probable activator protein in leuABCD operon	leuO		SL1344_0115	945	314.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	135901	137562	+	CBW16219.1			acetolactate synthase isozyme III large subunit	ilvI		SL1344_0116	1662	553.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	137565	138056	+	CBW16220.1			acetolactate synthase isozyme III small subunit	ilvH		SL1344_0117	492	163.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	138340	139344	+	CBW16221.1			fructose repressor	fruR		SL1344_0118	1005	334.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	139950	140408	+	CBW16222.1			conserved hypothetical protein.	mraZ		SL1344_0119	459	152.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	140410	141351	+	CBW16223.1			S-adenosyl-methyltransferase	mraW		SL1344_0120	942	313.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	141348	141713	+	CBW16224.1			cell division protein FtsL	ftsL		SL1344_0121	366	121.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	141729	143495	+	CBW16225.1			penicillin-binding protein 3 precursor	ftsI		SL1344_0122	1767	588.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	143482	144969	+	CBW16226.1			UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase	murE		SL1344_0123	1488	495.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	144966	146324	+	CBW16227.1			UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diam i nopimelate--D-alan alanyl ligase	murF		SL1344_0124	1359	452.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	146318	147400	+	CBW16228.1			Phospho-N-acetylmuramoyl-pentapeptide-transfera se	mraY		SL1344_0125	1083	360.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	147403	148719	+	CBW16229.1			UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD		SL1344_0126	1317	438.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	148806	149963	+	CBW16230.1			cell division protein FtsW	ftsW		SL1344_0127	1158	385.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	149960	151027	+	CBW16231.1			UDP-N-acetylglucosamine--N-acetylmuramyl-	murG		SL1344_0128	1068	355.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	151146	152621	+	CBW16232.1			UDP-N-acetylmuramate--L-alanine ligase	murC		SL1344_0129	1476	491.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	152614	153534	+	CBW16233.1			D-alanine--D-alanine ligase	ddlB		SL1344_0130	921	306.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	153536	154366	+	CBW16234.1			cell division protein FtsQ	ftsQ		SL1344_0131	831	276.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	154363	155625	+	CBW16235.1			cell division protein FtsA	ftsA		SL1344_0132	1263	420.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	155686	156837	+	CBW16236.1			cell division protein FtsZ	ftsZ		SL1344_0133	1152	383.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	156938	157855	+	CBW16237.1			UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC		SL1344_0134	918	305.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	158203	158631	+	CBW16238.1			conserved hypothetical protein	yacA		SL1344_0135	429	142.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	158693	161398	+	CBW16239.1			preprotein translocase SecA subunit	secA		SL1344_0136	2706	901.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	161550	161945	+	CBW16240.1			7,8-dihydro-8-oxoguanine-triphosphatase	mutT		SL1344_0137	396	131.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	162267	162458	-	CBW16241.1			conserved hypothetical protein	yacG		SL1344_0138	192	63.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	162468	163211	-	CBW16242.1			conserved hypothetical protein	yacF		SL1344_0139	744	247.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	163211	163831	-	CBW16243.1			Dephospho-CoA kinase	coaE		SL1344_0140	621	206.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	164057	165100	+	CBW16244.1			GMP reductase	guaC		SL1344_0141	1044	347.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	165131	166333	-	CBW16245.1			competence gene-DNA binding and transport	pilC		SL1344_0142	1203	400.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	166323	167708	-	CBW16246.1			competence gene-DNA binding and transport	pilB		SL1344_0143	1386	461.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	167718	168155	-	CBW16247.1			competence gene-DNA binding and transport	pilA		SL1344_0144	438	145.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	168377	169123	-	CBW16248.1			nicotinate-nucleotide pyrophosphorylase	nadC		SL1344_0145	747	248.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	169358	169921	+	CBW16249.1			AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)	ampD		SL1344_0146	564	187.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	169918	170772	+	CBW16250.1			AmpE protein	ampE		SL1344_0147	855	284.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	170864	171814	-	CBW16251.1			putatuve glycosysl hydrolase			SL1344_0148	951	316.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	171814	173220	-	CBW16252.1			hypothetical symporter			SL1344_0149	1407	468.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	173384	174757	-	CBW16253.1			aromatic amino acid transport protein AroP	aroP		SL1344_0150	1374	457.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	175320	176084	+	CBW16254.1			pyruvate dehydrogenase complex repressor	pdhR		SL1344_0151	765	254.0	
